id,nome,logo,local,categoria,taxa,minimo
7809eae0-be63-4900-94b6-eb0a10b41ada,Valknult Açaiteria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/7809eae0-be63-4900-94b6-eb0a10b41ada/202012151301_WhVa_i.png,natal-rn,Açaí,8.0,20.0
631c7818-07c9-4f75-8736-f6e9209a4a86,Açaí Purple,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/631c7818-07c9-4f75-8736-f6e9209a4a86/202105311343_XBlx_i.png,natal-rn,Açaí,10.99,9.99
f1576d70-2ca9-48b1-a2a7-7d0e1b2cecd0,Rota 84,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/f1576d70-2ca9-48b1-a2a7-7d0e1b2cecd0/201909211208_G56d_i.png,natal-rn,Saudável,13.0,0.0
bbd6172b-f3b6-4f0f-b21a-a17e5dc0cdd5,Km Açai Delivery,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/bbd6172b-f3b6-4f0f-b21a-a17e5dc0cdd5/202009241852_DAsS_.jpeg,parnamirim-rn,Açaí,15.0,0.0
38d451bd-48c6-4d2b-9639-bf0e25867d99,Bills,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/38d451bd-48c6-4d2b-9639-bf0e25867d99/202103021848_iWWb_i.jpg,natal-rn,Lanches,7.0,13.0
c5a1e189-cb2d-4fe4-a8ae-a8d72fe518e8,Loucos Por Lanche,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/c5a1e189-cb2d-4fe4-a8ae-a8d72fe518e8/202102191723_IxID_i.png,natal-rn,Lanches,10.99,12.0
67bb5187-9539-4d1a-8689-2df940b8c048,Dakorea,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/67bb5187-9539-4d1a-8689-2df940b8c048/202104291917_6pDe_i.jpg,natal-rn,Lanches,4.49,20.0
3b372a4f-6fb9-4d5f-a653-1ba42fb61ebe,China Express,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/3b372a4f-6fb9-4d5f-a653-1ba42fb61ebe/202008241626_x5GI_i.png,natal-rn,Chinesa,8.0,10.0
0b2a0891-2513-4db7-9fde-015f835a5bee,Empadelicinhas,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/0b2a0891-2513-4db7-9fde-015f835a5bee/202104190940_UH7d_i.jpg,natal-rn,Lanches,15.0,20.0
76ead917-1c30-49b3-a2a7-b36d6c588c01,Marlon Vinicius Gastronomia,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/76ead917-1c30-49b3-a2a7-b36d6c588c01/202106201742_guVH_.jpeg,natal-rn,Cafeteria,11.49,10.0
04236841-b1d2-498e-90ee-020ee5087fcc,Lula Burgs,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/04236841-b1d2-498e-90ee-020ee5087fcc/201911220905_LMlj_.jpeg,natal-rn,Lanches,12.99,10.0
2fc7407d-a080-4574-ad55-e09656dd1cb2,Doceeli,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/2fc7407d-a080-4574-ad55-e09656dd1cb2/202104170744_UHZw_i.jpg,natal-rn,Doces & Bolos,10.49,10.0
